serialNum;Тип организации;Разряд;Название УГМС;StationName;Реперная/Вековая станция;Синоптический индекс станции;Общероссийский координатный номер метеорологического пункта;Общероссийский номер гидрологического пункта;Общероссийский номер агрометеорологического пункта;Широта;Долгота;Разность между поясным и московским временем;Территориальный код станции;Филиал(ЦГМС);Статус сетей: климатическая (метеорологическая);Признак проведения радиолокационных наблюдений;Признак проведения аэрологических наблюдений;Статус сетей: гидрологическая;Статус сетей: морская;Статус сетей: агрометеорологическая;Признак проведения специальных гидрометеорологических наблюдений;Признак проведения геофизических наблюдений;Признак проведения гелиофизических наблюдений;Признак проведения наблюдений за загрязнениями;Станция законсервирована (0 не законсервирована, 1 законсервирована);Дата закрытия
2597;Озерный гидрометеорологический пост;2;ФГБУ Северо-Кавказское УГМС;СУВОРОВСКИЙ - вдхр. Цимлянское;0;78905;4813043030;78905;;48.232906106325146;43.04786682128906;;134;Волгоградский ЦГМС;1;0;0;3;0;0;0;0;0;0;;9999-12-31 00:00:00
4996;Озерный гидрометеорологический пост;1;ФГБУ Иркутское УГМС;СУВОРОВСКИЙ - ВДХР.УСТЬ-ИЛИМСКОЕ;0;;5629103551;08977;;56.29;103.55;;138;Братский ЦГМС;1;0;0;3;0;0;0;0;0;1;;9999-12-31 00:00:00
3290;Агрометеорологический пост;0;ФГБУ Уральское УГМС;СУДА;0;66004;;;66004;56.95;56.82;;159;Пермский ЦГМС;1;0;0;0;0;3;0;0;0;1;;9999-12-31 00:00:00
8789;Гидрологический пост;1;ФГБУ Крымское УГМС;СУДАК - Р.ТАРАКТАШ;0;81693;4451034590;81693;;44.84916666666667;34.98638888888889;;182;Отсутствует;1;0;0;2;0;0;1;0;0;1;;
28957;Морская гидрометеорологическая судовая станция;0;ФГБУ Северо-Кавказское УГМС;"СУДНО "" ШТОРМ""";0;;;;;48.68588919354513;44.48531627655029;;;Волгоградский ЦГМС;1;0;0;0;0;0;0;0;0;0;;
28902;Морская гидрометеорологическая судовая станция;0;ФГБУ Северо-Кавказское УГМС;"СУДНО Р-376 "" ГЛУБИНА""";0;;;;;46.36854887823659;48.049306869506836;;;Астраханский ЦГМС;1;0;0;0;0;0;0;0;0;0;;
1344;Гидрологический пост;1;ФГБУ Центральное УГМС;СУДОГДА - Р.СУДОГДА;0;75579;;75579;;55.95;40.86;;133;Владимирский ЦГМС;0;0;0;3;0;0;0;0;0;1;;9999-12-31 00:00:00
1336;Агрометеорологический пост;0;ФГБУ Центральное УГМС;СУЗДАЛЬ;0;55203;5625040260;;;56.41;40.43;;133;Владимирский ЦГМС;1;0;0;0;0;3;0;0;0;1;;9999-12-31 00:00:00
10147;Автоматическая гидрометеорол. необслуживаемая наземная станция;0;ФГБУ Центральное УГМС;СУЗДАЛЬ;;27438;5644050;;;56.42;40.45;;;Владимирский ЦГМС;3;0;0;0;0;0;0;0;0;0;;
3476;Метеорологическая станция;2;ФГБУ Западно-Сибирское УГМС;Сузун;0;29823;5388230;;;53.46;82.19;;154;Отсутствует;3;0;0;0;0;0;1;0;0;1;;
5910;Пристанционный гидрологический пост;1;ФГБУ Дальневосточное УГМС;СУКПАЙ (ГП ПРИ СУКПАЙ М) - Р.СУКПАЙ;0;05348;;05348;;47.70;137.50;;127;Отсутствует;0;0;0;3;0;0;0;0;0;0;;9999-12-31 00:00:00
